date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:10	1148528/1148528	---M--	200	added ('OK')	font/woff2	etag:%22cb9ecb38dc542a2e716c01c7886a0e6c%22	https://kolfag.com/fonts/sf-pro-display/SF-Pro-Display-Thin.woff2	C:/Mes%20Sites%20Web/Phantom/kolfag.com/fonts/sf-pro-display/SF-Pro-Display-Thin.woff2	(from https://kolfag.com/_next/static/css/3f97f735df8ddc8a.css)
13:13:11	1171688/1171688	---M--	200	added ('OK')	font/woff2	etag:%2208a0af49e2548392f10563ce047c649b%22	https://kolfag.com/fonts/sf-pro-display/SF-Pro-Display-Light.woff2	C:/Mes%20Sites%20Web/Phantom/kolfag.com/fonts/sf-pro-display/SF-Pro-Display-Light.woff2	(from https://kolfag.com/_next/static/css/3f97f735df8ddc8a.css)
13:13:12	1209216/1209216	---M--	200	added ('OK')	font/woff2	etag:%225c4da0686767f54275a21cbe0d2e33f2%22	https://kolfag.com/fonts/sf-pro-display/SF-Pro-Display-Medium.woff2	C:/Mes%20Sites%20Web/Phantom/kolfag.com/fonts/sf-pro-display/SF-Pro-Display-Medium.woff2	(from https://kolfag.com/_next/static/css/3f97f735df8ddc8a.css)
13:13:12	7647/7647	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cf4ad8bc02e3b091eeb21e41c4c96906%22	https://kolfag.com/fonts/sf-pro-display/SF-Pro-Display-SemiBold.woff2	C:/Mes%20Sites%20Web/Phantom/kolfag.com/fonts/sf-pro-display/SF-Pro-Display-SemiBold.16.delayed	(from https://kolfag.com/_next/static/css/3f97f735df8ddc8a.css)
13:13:12	1156688/1156688	---M--	200	added ('OK')	font/woff2	etag:%22241232277d22b7753f7448f62faad251%22	https://kolfag.com/fonts/sf-pro-display/SF-Pro-Display-Regular.woff2	C:/Mes%20Sites%20Web/Phantom/kolfag.com/fonts/sf-pro-display/SF-Pro-Display-Regular.woff2	(from https://kolfag.com/_next/static/css/3f97f735df8ddc8a.css)
13:13:13	1200668/1200668	---M--	200	added ('OK')	font/woff2	etag:%220956b837a4fe46cde9139212613012ba%22	https://kolfag.com/fonts/sf-pro-display/SF-Pro-Display-Bold.woff2	C:/Mes%20Sites%20Web/Phantom/kolfag.com/fonts/sf-pro-display/SF-Pro-Display-Bold.woff2	(from https://kolfag.com/_next/static/css/3f97f735df8ddc8a.css)
13:13:13	1115284/1115284	---M--	200	added ('OK')	font/woff2	etag:%227313d216d75c55cc918808f69c532d26%22	https://kolfag.com/fonts/sf-pro-display/SF-Pro-Display-Black.woff2	C:/Mes%20Sites%20Web/Phantom/kolfag.com/fonts/sf-pro-display/SF-Pro-Display-Black.woff2	(from https://kolfag.com/_next/static/css/3f97f735df8ddc8a.css)
13:13:14	1144740/1144740	---M--	200	added ('OK')	font/woff2	etag:%2200cfb6c127da090b1353d0304817cd19%22	https://kolfag.com/fonts/sf-pro-text/SF-Pro-Text-Thin.woff2	C:/Mes%20Sites%20Web/Phantom/kolfag.com/fonts/sf-pro-text/SF-Pro-Text-Thin.woff2	(from https://kolfag.com/_next/static/css/3f97f735df8ddc8a.css)
13:13:14	1176464/1176464	---M--	200	added ('OK')	font/woff2	etag:%22e6ecd07f7686a55b167223c5557c9801%22	https://kolfag.com/fonts/sf-pro-text/SF-Pro-Text-Light.woff2	C:/Mes%20Sites%20Web/Phantom/kolfag.com/fonts/sf-pro-text/SF-Pro-Text-Light.woff2	(from https://kolfag.com/_next/static/css/3f97f735df8ddc8a.css)
13:13:15	1156980/1156980	---M--	200	added ('OK')	font/woff2	etag:%22d573b8b2242b37fba62508a6f263be6c%22	https://kolfag.com/fonts/sf-pro-text/SF-Pro-Text-Regular.woff2	C:/Mes%20Sites%20Web/Phantom/kolfag.com/fonts/sf-pro-text/SF-Pro-Text-Regular.woff2	(from https://kolfag.com/_next/static/css/3f97f735df8ddc8a.css)
13:13:15	1209576/1209576	---M--	200	added ('OK')	font/woff2	etag:%221151e878caa646c894376ae160477309%22	https://kolfag.com/fonts/sf-pro-text/SF-Pro-Text-Medium.woff2	C:/Mes%20Sites%20Web/Phantom/kolfag.com/fonts/sf-pro-text/SF-Pro-Text-Medium.woff2	(from https://kolfag.com/_next/static/css/3f97f735df8ddc8a.css)
13:13:16	7647/7647	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cf4ad8bc02e3b091eeb21e41c4c96906%22	https://kolfag.com/fonts/sf-pro-text/SF-Pro-Text-SemiBold.woff2	C:/Mes%20Sites%20Web/Phantom/kolfag.com/fonts/sf-pro-text/SF-Pro-Text-SemiBold.1d.delayed	(from https://kolfag.com/_next/static/css/3f97f735df8ddc8a.css)
13:13:17	1193836/1193836	---M--	200	added ('OK')	font/woff2	etag:%22c3b80e4c3ed9b68cf9c1117270476d34%22	https://kolfag.com/fonts/sf-pro-text/SF-Pro-Text-Bold.woff2	C:/Mes%20Sites%20Web/Phantom/kolfag.com/fonts/sf-pro-text/SF-Pro-Text-Bold.woff2	(from https://kolfag.com/_next/static/css/3f97f735df8ddc8a.css)
13:13:17	1117284/1117284	---M--	200	added ('OK')	font/woff2	etag:%22b7f5f1f2a5d8e14c75a5ff8f7c4f18c0%22	https://kolfag.com/fonts/sf-pro-text/SF-Pro-Text-Black.woff2	C:/Mes%20Sites%20Web/Phantom/kolfag.com/fonts/sf-pro-text/SF-Pro-Text-Black.woff2	(from https://kolfag.com/_next/static/css/3f97f735df8ddc8a.css)
